"accuracy";"batch_size";"init_momentum";"learning_rate";"layer_class";"dim";"dropout_prob";"layer_class";"dim";"dropout_prob";"cost_desc";"max_epochs";"config_id";"model_id";"ext_id";"train_id"
0.699219;64;0.5;1e-06;"rectifiedlinear";1000;0.2;"softmax";7;0.5;"mlp:cost_from_X";1000;15;2;3;2
0.697266;16;0.5;1e-06;"rectifiedlinear";400;;"softmax";7;;"mlp:cost_from_X";1000;47;6;3;2
0.693359;128;0.5;1e-06;"rectifiedlinear";400;;"softmax";7;;"mlp:cost_from_X";1000;50;6;3;2
0.658203;64;0.5;0.0001;"rectifiedlinear";1500;0.2;"rectifiedlinear";1500;0.5;"mlp:cost_from_X";1000;36;5;3;3
0.65625;64;0.5;1e-05;"rectifiedlinear";1500;0.2;"rectifiedlinear";1500;0.5;"mlp:cost_from_X";1000;30;5;3;1
0.652344;16;0.5;1e-06;"rectifiedlinear";1500;0.2;"rectifiedlinear";1500;0.5;"mlp:cost_from_X";1000;31;5;3;2
0.650391;32;0.5;1e-05;"rectifiedlinear";1500;0.2;"rectifiedlinear";1500;0.5;"mlp:cost_from_X";1000;29;5;3;1
0.650391;64;0.5;1e-06;"rectifiedlinear";1500;0.2;"rectifiedlinear";1500;0.5;"mlp:cost_from_X";1000;33;5;3;2
0.650391;32;0.5;1e-06;"rectifiedlinear";1500;0.2;"rectifiedlinear";1500;0.5;"mlp:cost_from_X";1000;32;5;3;2
0.648438;16;0.5;1e-05;"rectifiedlinear";1500;0.2;"rectifiedlinear";1500;0.5;"mlp:cost_from_X";1000;28;5;3;1
0.642578;64;0.5;1e-06;"rectifiedlinear";1000;0.2;"rectifiedlinear";1000;0.5;"mlp:cost_from_X";1000;24;3;3;2
0.632812;64;0.5;1e-05;"rectifiedlinear";1000;0.2;"rectifiedlinear";1000;0.5;"mlp:cost_from_X";1000;21;3;3;1
0.630859;32;0.5;1e-05;"rectifiedlinear";1000;0.2;"rectifiedlinear";1000;0.5;"mlp:cost_from_X";1000;20;3;3;1
